variant,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_crt_50,hit_1r,hit_2r,hit_3r,hit_stdv_2,hit_stdv_2_5,hit_stdv_4,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
m5_managed,2026-07-09 08:45:00-04:00,2026-07-09T09:36:12-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7497.8,7507.7,9.899999999999636,be_after_partial,True,True,False,False,False,False,False,7440.6,7430.75,7401.200000000001,1.41,-0.91,0.5,48.51,24.25,4875.74
m5_cisd,2026-07-09 08:45:00-04:00,2026-07-09T09:38:13-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7497.8,7507.7,9.899999999999636,stop,False,True,False,False,,,,7484.900000000001,7483.300000000001,7478.500000000001,1.41,-1.09,-1.0,50.49,-50.49,4798.57
m5_cisd,2026-07-09 08:45:00-04:00,2026-07-09T09:38:14-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7497.8,7507.7,9.899999999999636,stop,True,True,False,False,,,,7440.6,7430.75,7401.200000000001,1.41,-1.09,-1.0,49.48,-49.48,4749.09
raw,2026-07-09 09:45:00-04:00,2026-07-09T09:53:33-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7512.6,7515.1,2.5,stop,,True,True,False,,,,7421.2,7405.549999999999,7358.599999999999,2.8,-1.8,-1.0,48.45,-48.45,4796.26
raw,2026-07-09 09:45:00-04:00,2026-07-09T09:53:33-04:00,US500,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,7508.1,7515.1,7.0,stop,False,False,False,False,,,,7421.2,7405.549999999999,7358.599999999999,0.36,-1.29,-1.0,48.45,-48.45,4747.81
raw,2026-07-09 09:30:00-04:00,2026-07-09T09:57:34-04:00,GBPUSD,crt_range_sweep,CRT_9AM_CRT_9PM_Asia_High,bearish_sweep,1.33985,1.34018,0.00032999999999994145,stop,True,True,False,False,,,,1.3338500000000004,1.3327950000000004,1.3296300000000008,1.91,-1.09,-1.0,48.94,-48.94,4698.87
m5_cisd,2026-07-09 09:50:00-04:00,2026-07-09T10:01:35-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4118.81,4129.47,10.659999999999854,stop,False,False,False,False,,,,4069.750000000001,4060.945000000001,4034.5300000000016,0.1,-1.22,-1.0,48.99,-48.99,4700.1
m5_managed,2026-07-09 09:50:00-04:00,2026-07-09T10:01:35-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,4118.81,4129.47,10.659999999999854,stop,False,False,False,False,False,False,False,4069.750000000001,4060.945000000001,4034.5300000000016,0.1,-1.22,-1.0,48.02,-48.02,4827.72
m5_cisd,2026-07-09 09:50:00-04:00,2026-07-09T10:01:36-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4118.81,4129.47,10.659999999999854,stop,False,False,False,False,,,,4061.0700000000006,4050.0950000000007,4017.170000000001,0.1,-1.22,-1.0,48.49,-48.49,4651.61
m5_managed,2026-07-09 09:50:00-04:00,2026-07-09T10:01:36-04:00,XAUUSD,crt_range_sweep,CRT_9AM_CRT_5AM_High,bearish_sweep,4118.81,4129.47,10.659999999999854,stop,False,False,False,False,False,False,False,4061.0700000000006,4050.0950000000007,4017.170000000001,0.1,-1.22,-1.0,48.27,-48.27,4779.45
raw,2026-07-09 10:05:00-04:00,2026-07-09T10:10:54-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.34101,1.34111,9.999999999998899e-05,all_targets,,True,True,True,,,,1.33451,1.3334100000000002,1.3301100000000001,8.0,-0.0,3.0,46.99,140.97,4839.84
raw,2026-07-09 10:05:00-04:00,2026-07-09T10:10:55-04:00,XAUUSD,pdh_pdl_sweep,PDH,bearish_sweep,4133.84,4135.93,2.0900000000001455,all_targets,,True,True,True,,,,4075.3899999999994,4065.2999999999993,4035.029999999999,5.78,-0.0,3.0,46.99,140.97,4980.81
m5_managed,2026-07-09 10:10:00-04:00,2026-07-09T10:28:58-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7503.8,7519.8,16.0,be_after_partial,,True,False,False,False,False,False,7421.2,7405.549999999999,7358.599999999999,1.28,-0.31,0.5,48.76,24.38,4803.83
m5_managed,2026-07-09 10:10:00-04:00,2026-07-09T10:28:58-04:00,US500,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,7503.8,7519.8,16.0,be_after_partial,True,True,False,False,False,False,False,7421.2,7405.549999999999,7358.599999999999,1.28,-0.31,0.5,48.76,24.38,4828.21
m5_cisd,2026-07-09 10:15:00-04:00,2026-07-09T10:37:00-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.33969,1.34046,0.0007699999999999374,stop,,False,False,False,,,,1.33451,1.3334100000000002,1.3301100000000001,0.12,-1.03,-1.0,46.52,-46.52,4605.09
m5_managed,2026-07-09 10:15:00-04:00,2026-07-09T10:37:00-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.33969,1.34046,0.0007699999999999374,stop,,False,False,False,False,False,False,1.33451,1.3334100000000002,1.3301100000000001,0.12,-1.03,-1.0,47.79,-47.79,4780.42
m5_cisd,2026-07-09 10:15:00-04:00,2026-07-09T10:59:03-04:00,XAUUSD,pdh_pdl_sweep,PDH,bearish_sweep,4118.57,4126.84,8.270000000000437,stop,,False,False,False,,,,4075.3899999999994,4065.2999999999993,4035.029999999999,0.52,-1.14,-1.0,46.52,-46.52,4558.57
m5_managed,2026-07-09 10:15:00-04:00,2026-07-09T10:59:04-04:00,XAUUSD,pdh_pdl_sweep,PDH,bearish_sweep,4118.57,4126.84,8.270000000000437,stop,,False,False,False,False,False,False,4075.3899999999994,4065.2999999999993,4035.029999999999,0.52,-1.14,-1.0,47.79,-47.79,4732.63
m5_cisd,2026-07-09 10:10:00-04:00,2026-07-09T11:07:05-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7503.8,7519.8,16.0,stop,,True,False,False,,,,7421.2,7405.549999999999,7358.599999999999,1.28,-1.19,-1.0,47.49,-47.49,4511.08
m5_cisd,2026-07-09 10:10:00-04:00,2026-07-09T11:07:05-04:00,US500,crt_range_sweep,CRT_9AM_CRT_1AM_London_High,bearish_sweep,7503.8,7519.8,16.0,stop,True,True,False,False,,,,7421.2,7405.549999999999,7358.599999999999,1.28,-1.19,-1.0,47.49,-47.49,4463.59
