variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after,signal_id,final_verdict,rejected_by,filter_pd,filter_qt,filter_qt_phase,filter_mo_bias,filter_hrl,run_id,is_backtest
m5_cisd,mt5,2026-06-24 09:50:00-04:00,,EURUSD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.13443,1.13338,0.0010499999999999954,expired,True,False,1.13562,1.13752,1.13504,1.13548,1.1368,2.27,-0.86,1.238,,,,42f8edab1165,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-25 04:00:00-04:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.13615,1.13446,0.0016899999999999693,stop,,False,,1.13953,1.1386899999999995,1.1392349999999993,1.1408699999999992,0.75,-1.02,-1.047,,,,d24f77a9fe86,rejected,mo_bias,pass,pass,Manipulation,fail,pass,8197109777,true
m5_cisd,mt5,2026-06-25 02:55:00-04:00,,EURUSD,opening_gap_sweep,NDOG_High,bearish_sweep,1.13529,1.1358,0.0005100000000000104,stop,,False,,1.13427,1.13468,1.134375,1.13346,0.08,-1.22,-1.157,,,,023ebb3d7552,rejected,pd,fail,pass,Manipulation,pass,pass,8197109777,true
m5_cisd,mt5,2026-06-25 08:05:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_Low,bullish_sweep,1.13415,1.13333,0.0008200000000000429,liquidity,True,True,1.136185,1.13713,1.1409899999999997,1.1419649999999997,1.1448899999999995,4.66,-0.38,3.537,,,,68fb23b3b031,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-25 08:05:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.13415,1.13333,0.0008200000000000429,liquidity,True,True,1.13586,1.13726,1.14005,1.141015,1.14391,4.66,-0.38,3.695,,,,0247f35faafe,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-25 08:30:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_Low,bullish_sweep,1.13513,1.13384,0.0012900000000000134,liquidity,,True,,1.13607,1.1359100000000002,1.1363400000000001,1.1376300000000004,1.05,-0.12,0.667,,,,0ce38519176a,rejected,mo_bias,pass,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-26 02:45:00-04:00,,EURUSD,crt_range_sweep,CRT_1AM_CRT_9PM_Asia_High,bearish_sweep,1.13721,1.13826,0.0010499999999999954,stop,False,False,1.1365750000000001,1.13541,1.13609,1.135735,1.13467,0.07,-1.55,-1.076,,,,6cf9220c28d5,rejected,pd,fail,pass,Manipulation,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-26 02:45:00-04:00,,EURUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_High,bearish_sweep,1.13721,1.13826,0.0010499999999999954,stop,False,False,1.136135,1.1348,1.13609,1.135735,1.13467,0.07,-1.55,-1.076,,,,84c45b794eb8,rejected,pd,fail,pass,Manipulation,fail,fail,8197109777,true
m5_cisd,mt5,2026-06-26 06:15:00-04:00,,EURUSD,crt_range_sweep,CRT_5AM_CRT_1AM_London_High,bearish_sweep,1.14025,1.14073,0.00048000000000003595,stop,False,False,1.13896,1.13714,1.13616,1.135315,1.1327800000000001,1.81,-1.04,-1.167,,,,b9351d76fa98,rejected,pd,fail,pass,Distribution,fail,fail,8197109777,true
m5_cisd,mt5,2026-01-02 05:30:00-05:00,,EURUSD,opening_gap_sweep,NDOG_Low,bullish_sweep,1.17208,1.17158,0.0004999999999999449,stop,False,False,1.17339,1.17481,1.1744899999999996,1.1750199999999995,1.1766099999999993,0.02,-1.14,-1.16,,,,291315a684f7,rejected,mo_bias,pass,pass,Manipulation,fail,fail,6f5fc66f4b,true
